,Unnamed: 0,Tanggal,Pembukaan,Bulan,Tahun,Pembukaan_log,Pembukaan_filled
304,304,2022-11-03,142.06,11,2022,-1.3743621830249817,-1.3743621830249817
305,305,2022-11-04,142.09,11,2022,-1.3727496552451748,-1.3727496552451748
306,306,2022-11-05,142.07500000000002,11,2022,-1.373555853486197,-1.373555853486197
307,307,2022-11-06,142.09,11,2022,-1.3727496552451748,-1.3727496552451748
308,308,2022-11-07,137.11,11,2022,-1.6478409469150983,-1.6478409469150983
309,309,2022-11-08,140.41,11,2022,-1.463868099203714,-1.463868099203714
310,310,2022-11-09,138.5,11,2022,-1.5695255539956745,-1.5695255539956745
311,311,2022-11-10,141.24,11,2022,-1.4186423233171528,-1.4186423233171528
312,312,2022-11-11,145.82,11,2022,-1.1762616646945394,-1.1762616646945394
313,313,2022-11-12,143.53000000000003,11,2022,-1.2959606484597588,-1.2959606484597588
314,314,2022-11-13,145.82,11,2022,-1.1762616646945394,-1.1762616646945394
315,315,2022-11-14,148.97,11,2022,-1.0162687927494716,-1.0162687927494716
316,316,2022-11-15,152.21,11,2022,-0.8570605267037538,-0.8570605267037538
317,317,2022-11-16,149.13,11,2022,-1.0082815657824613,-1.0082815657824613
318,318,2022-11-17,146.43,11,2022,-1.1448647539991978,-1.1448647539991978
319,319,2022-11-18,152.3,11,2022,-0.8527128084892464,-0.8527128084892464
320,320,2022-11-19,149.365,11,2022,-0.9965742677255754,-0.9965742677255754
321,321,2022-11-20,152.3,11,2022,-0.8527128084892464,-0.8527128084892464
322,322,2022-11-21,150.16,11,2022,-0.9571785102710124,-0.9571785102710124
323,323,2022-11-22,148.13,11,2022,-1.0584199141349124,-1.0584199141349124
324,324,2022-11-23,149.45,11,2022,-0.992346709516757,-0.992346709516757
325,325,2022-11-24,148.79000000000002,11,2022,-1.0252702594316978,-1.0252702594316978
326,326,2022-11-25,148.3,11,2022,-1.0498596059713774,-1.0498596059713774
327,327,2022-11-26,148.3,11,2022,-1.0498596059713774,-1.0498596059713774
328,328,2022-11-27,148.3,11,2022,-1.0498596059713774,-1.0498596059713774
329,329,2022-11-28,145.14,11,2022,-1.2115012029850707,-1.2115012029850707
330,330,2022-11-29,144.29,11,2022,-1.255910449911137,-1.255910449911137
331,331,2022-11-30,141.4,11,2022,-1.4099712032454397,-1.4099712032454397
332,332,2022-12-01,148.21,12,2022,-1.0543896467206977,-1.0543896467206977
333,333,2022-12-02,145.96,12,2022,-1.169037921247699,-1.169037921247699
334,334,2022-12-03,147.085,12,2022,-1.111375560441036,-1.111375560441036
335,335,2022-12-04,145.96,12,2022,-1.169037921247699,-1.169037921247699
336,336,2022-12-05,147.77,12,2022,-1.076597759579949,-1.076597759579949
337,337,2022-12-06,147.07,12,2022,-1.112139913243969,-1.112139913243969
338,338,2022-12-07,142.19,12,2022,-1.367378353098125,-1.367378353098125
339,339,2022-12-08,142.36,12,2022,-1.3582604988199265,-1.3582604988199265
340,340,2022-12-09,142.34,12,2022,-1.3593323156932096,-1.3593323156932096
341,341,2022-12-10,142.35000000000002,12,2022,-1.3587963782220045,-1.3587963782220045
342,342,2022-12-11,142.34,12,2022,-1.3593323156932096,-1.3593323156932096
343,343,2022-12-12,142.7,12,2022,-1.3400750765956004,-1.3400750765956004
344,344,2022-12-13,149.5,12,2022,-0.9898616431778228,-0.9898616431778228
345,345,2022-12-14,145.35,12,2022,-1.2005912643237588,-1.2005912643237588
346,346,2022-12-15,141.11,12,2022,-1.4256987718372838,-1.4256987718372838
347,347,2022-12-16,136.68,12,2022,-1.6723164372593968,-1.6723164372593968
348,348,2022-12-17,138.89499999999998,12,2022,-1.5474912577234865,-1.5474912577234865
349,349,2022-12-18,136.68,12,2022,-1.6723164372593968,-1.6723164372593968
350,350,2022-12-19,135.11,12,2022,-1.7626982785615717,-1.7626982785615717
351,351,2022-12-20,131.39,12,2022,-1.983463988646184,-1.983463988646184
352,352,2022-12-21,132.98,12,2022,-1.887939720385771,-1.887939720385771
353,353,2022-12-22,134.35,12,2022,-1.807033954900145,-1.807033954900145
354,354,2022-12-23,130.92,12,2022,-2.0120426830255163,-2.0120426830255163
355,355,2022-12-24,132.635,12,2022,-1.9085166374538567,-1.9085166374538567
356,356,2022-12-25,130.92,12,2022,-2.0120426830255163,-2.0120426830255163
357,357,2022-12-26,131.77749999999995,12,2022,-1.9600200310815097,-1.9600200310815097
358,358,2022-12-27,131.38,12,2022,-1.984070404580489,-1.984070404580489
359,359,2022-12-28,129.67,12,2022,-2.088825554955449,-2.088825554955449
360,360,2022-12-29,127.99,12,2022,-2.193837454954378,-2.193837454954378
361,361,2022-12-30,128.41,12,2022,-2.167386055245879,-2.167386055245879
362,362,2022-12-31,128.2,12,2022,-2.1805950596541344,-2.1805950596541344
363,363,2023-01-01,128.41,1,2023,-2.167386055245879,-2.167386055245879
364,364,2023-01-02,128.30499999999998,1,2023,-2.1739863922432043,-2.1739863922432043
365,365,2023-01-03,130.28,1,2023,-2.0512136463836814,-2.0512136463836814
366,366,2023-01-04,126.89,1,2023,-2.263753430776232,-2.263753430776232
367,367,2023-01-05,127.13,1,2023,-2.24841954660275,-2.24841954660275
368,368,2023-01-06,126.01,1,2023,-2.3203622806588524,-2.3203622806588524
369,369,2023-01-07,126.57,1,2023,-2.2842682771492777,-2.2842682771492777
370,370,2023-01-08,126.01,1,2023,-2.3203622806588524,-2.3203622806588524
371,371,2023-01-09,130.46,1,2023,-2.0401668782429176,-2.0401668782429176
372,372,2023-01-10,130.26,1,2023,-2.05244251737368,-2.05244251737368
373,373,2023-01-11,131.25,1,2023,-1.9919602921412307,-1.9919602921412307
